course_id,course_name
2838,'Become a CBRS Certified Professional Installer by Google'
5753,'Financial Markets'
4096,'Introduction to Psychology'
6068,'Programming for Everybody (Getting Started with Python)'
4714,'The Bits and Bytes of Computer Networking'
5921,'AI For Everyone'
3472,'Crash Course on Python'
3327,'Psychological First Aid'
6357,'Neural Networks and Deep Learning'
5107,'What is Data Science?'
4511,'Successful Negotiation: Essential Strategies and Skills'
2916,'Fundamentals of Project Planning and Management'
5731,'Project Launch'
4419,"'Brand Management: Aligning Business, Brand and Behaviour'"
3640,'Writing in the Sciences'
3696,'Stanford Introduction to Food and Health'
5130,"'HTML, CSS, and Javascript for Web Developers'"
5315,'Excel Skills for Business: Essentials'
3668,'Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator'
5138,'Learning How to Learn: Powerful mental tools to help you master tough subjects'
4671,'Google Cloud Platform Fundamentals: Core Infrastructure'
4248,'Viral Marketing and How to Craft Contagious Content'
5836,'Python Data Structures'
3655,'Private Equity and Venture Capital'
4597,'First Step Korean'
2894,"'Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning'"
3270,'Operating Systems and You: Becoming a Power User'
4077,'Open Source tools for Data Science'
4588,"'Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization'"
3420,'Diversity and inclusion in the workplace'
4282,'Design and Interpretation of Clinical Trials'
3971,'Visual Elements of User Interface Design'
3939,'Management of Fashion and Luxury Companies'
6305,'Primeros Auxilios Psicológicos (PAP)'
2878,'Social Psychology'
4937,'Initiating and Planning Projects'
5730,'Computational Thinking for Problem Solving'
2921,'Agile with Atlassian Jira'
4545,'Fundamentals of Graphic Design'
4515,'Introduction to User Experience Design'
3914,'Introduction to Marketing'
4595,'Python for Data Science and AI'
2761,'Marketing Analytics'
2803,'Fundamentals of Quantitative Modeling'
4533,'Mathematics for Machine Learning: Linear Algebra'
5980,'Introduction to Data Science in Python'
3682,'Customer Analytics'
3382,'Introduction to Psychology'
4941,'English for Career Development'
5946,'Global Diplomacy – Diplomacy in the Modern World'
4895,'SQL for Data Science'
5707,'Write Professional Emails in English'
3159,'Medical Neuroscience'
6332,'System Administration and IT Infrastructure Services'
3706,'International Women's Health and Human Rights'
5796,'Child Nutrition and Cooking'
5143,'Understanding the Brain: The Neurobiology of Everyday Life'
2680,'Forensic Accounting and Fraud Examination'
4048,'Clinical Terminology for International and U.S. Students'
4742,'Science of Exercise'
2663,'Digital Product Management: Modern Fundamentals'
4663,'Data Science Math Skills'
5968,'Structuring Machine Learning Projects'
3796,'An Introduction to American Law'
2691,'The Strategy of Content Marketing'
6248,'Introduction to Cybersecurity Tools & Cyber Attacks'
5198,'The Data Scientist’s Toolbox'
5262,'Animal Behaviour and Welfare'
4482,'Convolutional Neural Networks in TensorFlow'
4250,'Positive Psychology: Martin E. P. Seligman’s Visionary Science'
4479,'Introduction to the Biology of Cancer'
2969,'Convolutional Neural Networks'
3304,'Using Python to Access Web Data'
5285,'Introductory Human Physiology'
6046,'Introduction to Systematic Review and Meta-Analysis'
4454,'Communication Strategies for a Virtual Age'
6195,'Moral Foundations of Politics'
3559,'Étudier en France: French Intermediate course B1-B2'
5778,'Managing the Company of the Future'
3098,'Finance for Non-Finance Professionals'
4097,'Site Reliability Engineering: Measuring and Managing Reliability'
5481,'Autism Spectrum Disorder'
6159,'Data Science Methodology'
5324,'Introduction to Financial Accounting'
5667,'Marketing in a Digital World'
5312,'Wind Energy'
3783,'Financial Engineering and Risk Management Part I'
6178,'Introduction to Philosophy'
6131,'Business Metrics for Data-Driven Companies'
6348,'Python Basics'
4079,'Introduction to Sustainability'
6058,'Positive Psychiatry and Mental Health'
5576,'Cryptography I'
3966,'Learning to Teach Online'
3100,'IT Security: Defense against the digital dark arts'
2977,'An Introduction to Consumer Neuroscience & Neuromarketing'
6042,'Gamification'
3520,'Contabilidad para no contadores'
3990,'Using Python to Interact with the Operating System'
6262,'Object-Oriented Data Structures in C++'
6295,'Google Cloud Platform Big Data and Machine Learning Fundamentals'
2997,'Databases and SQL for Data Science'
4134,'Natural Language Processing in TensorFlow'
3960,"'Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital'"
5622,'Vital Signs: Understanding What the Body Is Telling Us'
5319,'Understanding Research Methods'
3883,'IBM Customer Engagement Specialist Professional Certificate'
3500,'Introduction to Calculus'
3615,'Camino a la Excelencia en Gestión de Proyectos'
3790,'Introduction to HTML5'
3855,'Wine Tasting: Sensory Techniques for Wine Analysis'
5865,'Excel Skills for Business: Intermediate I'
